experiment,experimenter,description,Infection Date,Plate Number,Worm_strain,Total Worms,Spore Strain,Spore Lot,Lot concentration,Total Spores (M),Total ul spore,Infection Round,40X OP50 (mL),Plate Size,Spores(M)/cm2,Time plated,Time Incubated,Temp,timepoint,infection.type,Fixing Date,Location,Staining Date,Stain type,Slide date,Slide number,Slide Box,Imaging Date
190426_VC20019_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,1,VC20019,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,1,2,190516
190426_VC20019_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,2,VC20019,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,2,2,190516
190426_VC20019_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,3,VC20019,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,3,2,190516
190426_N2_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,4,N2,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190430,DY96,190501,4,2,190502
190426_N2_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,5,N2,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,5,2,190516
190426_N2_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,6,N2,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,6,2,190516
190426_AB1_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,7,AB1,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190430,DY96,190501,7,2,190502
190426_AB1_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,8,AB1,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,8,2,190516
190426_AB1_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,9,AB1,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,9,2,190516
190426_JU397_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,10,JU397,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190430,DY96,190501,10,2,190502
190426_JU397_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,11,JU397,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,11,2,190516
190426_JU397_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,12,JU397,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,12,2,190516
190426_JU642_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,13,JU642,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190430,DY96,190501,13,2,190502
190426_JU642_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,14,JU642,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,14,2,190516
190426_JU642_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,15,JU642,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,15,2,190516
190426_MY6_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,16,MY6,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190430,DY96,190501,16,2,190502
190426_MY6_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,17,MY6,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,17,2,190516
190426_MY6_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,18,MY6,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,18,2,190516
190426_ED3042_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,19,ED3042,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190430,DY96,190501,19,2,190502
190426_ED3042_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,20,ED3042,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,20,2,190516
190426_ED3042_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,21,ED3042,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,21,2,190516
190426_JU360_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,22,JU360,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190430,DY96,190501,22,2,190502
190426_JU360_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,23,JU360,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,23,2,190516
190426_JU360_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,24,JU360,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,24,2,190516
190426_JU1400_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,25,JU1400,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190430,DY96,190501,25,2,190502
190426_JU1400_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,26,JU1400,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,26,2,190516
190426_JU1400_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,27,JU1400,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,27,2,190516
190426_MY1_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,28,MY1,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190430,DY96,190501,28,2,190502
190426_MY1_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,29,MY1,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,29,2,190516
190426_MY1_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,30,MY1,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,30,2,190516
190426_Lua1_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,31,Lua1,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Sample exhausted,190430,DY96,190501,31,2,190502
190426_Lua1_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,32,Lua1,1000,LUAm1,2A,176000,10,56.81818182,1,0.15,6,0.353857042,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,32,2,190516
190426_Lua1_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,33,Lua1,1000,LUAm1,2A,176000,20,113.6363636,1,0.15,6,0.707714084,1300,1600,21,72,continuous,190426,Sample exhausted,190513,Sp.9 FISH + DY96,190515,33,2,190516
190426_VC20019_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,34,VC20019,1000,ERTm5,2,427000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,34,2,190502
190426_VC20019_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,35,VC20019,1000,ERTm5,2,427000,1.75,4.098360656,1,0.15,6,0.061924982,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,35,2,190502
190426_VC20019_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,36,VC20019,1000,ERTm5,2,427000,3.5,8.196721311,1,0.15,6,0.123849965,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,36,2,190502
190426_N2_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,37,N2,1000,ERTm5,2,427000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,NA,190529,microb FISH + DY96,190530,37,3,201026
190426_N2_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,38,N2,1000,ERTm5,2,427000,1.75,4.098360656,1,0.15,6,0.061924982,1300,1600,21,72,continuous,190426,NA,190529,microb FISH + DY96,190530,38,3,201026
190426_N2_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,39,N2,1000,ERTm5,2,427000,3.5,8.196721311,1,0.15,6,0.123849965,1300,1600,21,72,continuous,190426,NA,190529,microb FISH + DY96,190530,39,3,201026
190426_CB4856_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,40,CB4856,1000,ERTm5,2,427000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,40,2,190502
190426_CB4856_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,41,CB4856,1000,ERTm5,2,427000,1.75,4.098360656,1,0.15,6,0.061924982,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,41,2,190502
190426_CB4856_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,42,CB4856,1000,ERTm5,2,427000,3.5,8.196721311,1,0.15,6,0.123849965,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,42,2,190502
190426_JU300_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,43,JU300,1000,ERTm5,2,427000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,43,2,190502
190426_JU300_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,44,JU300,1000,ERTm5,2,427000,1.75,4.098360656,1,0.15,6,0.061924982,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,44,2,190502
190426_JU300_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,45,JU300,1000,ERTm5,2,427000,3.5,8.196721311,1,0.15,6,0.123849965,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,45,2,190502
190426_JU1400_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,46,JU1400,1000,ERTm5,2,427000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,NA,190529,microb FISH + DY96,190530,46,3,201026
190426_JU1400_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,47,JU1400,1000,ERTm5,2,427000,1.75,4.098360656,1,0.15,6,0.061924982,1300,1600,21,72,continuous,190426,NA,190529,microb FISH + DY96,190530,47,3,201026
190426_JU1400_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,48,JU1400,1000,ERTm5,2,427000,3.5,8.196721311,1,0.15,6,0.123849965,1300,1600,21,72,continuous,190426,NA,190529,microb FISH + DY96,190530,48,3,201026
190426_MY2_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,49,MY2,1000,ERTm5,2,427000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,49,2,190502
190426_MY2_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,50,MY2,1000,ERTm5,2,427000,1.75,4.098360656,1,0.15,6,0.061924982,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,50,2,190502
190426_MY2_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,51,MY2,1000,ERTm5,2,427000,3.5,8.196721311,1,0.15,6,0.123849965,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,51,2,190502
190426_VC20019_ERTm2_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,52,VC20019,1000,ERTm2,1,240000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,52,2,190502
190426_VC20019_ERTm2_0.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,53,VC20019,1000,ERTm2,1,240000,0.5,2.083333333,1,0.15,6,0.017692852,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,53,2,190502
190426_VC20019_ERTm2_1.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,54,VC20019,1000,ERTm2,1,240000,1.5,6.25,1,0.15,6,0.053078556,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,54,2,190502
190426_N2_ERTm2_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,55,N2,1000,ERTm2,1,240000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,55,2,190502
190426_N2_ERTm2_0.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,56,N2,1000,ERTm2,1,240000,0.5,2.083333333,1,0.15,6,0.017692852,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,56,2,190502
190426_N2_ERTm2_1.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,57,N2,1000,ERTm2,1,240000,1.5,6.25,1,0.15,6,0.053078556,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,57,2,190502
190426_JU360_ERTm2_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,58,JU360,1000,ERTm2,1,240000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,58,2,190502
190426_JU360_ERTm2_0.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,59,JU360,1000,ERTm2,1,240000,0.5,2.083333333,1,0.15,6,0.017692852,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,59,2,190502
190426_JU360_ERTm2_1.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,60,JU360,1000,ERTm2,1,240000,1.5,6.25,1,0.15,6,0.053078556,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,60,2,190502
190426_MY2_ERTm2_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,61,MY2,1000,ERTm2,1,240000,0,0,1,0.15,6,0,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,61,2,190502
190426_MY2_ERTm2_0.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,62,MY2,1000,ERTm2,1,240000,0.5,2.083333333,1,0.15,6,0.017692852,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,62,2,190502
190426_MY2_ERTm2_1.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,63,MY2,1000,ERTm2,1,240000,1.5,6.25,1,0.15,6,0.053078556,1300,1600,21,72,continuous,190426,Acetone Fix 190426,190430,DY96,190501,63,2,190502
190605_N2_LUAm1_1M_24hpi,CM,Lua1 growth dynamics and firing test,190604,13,N2,1000,LUAm1,2A,176000,1,5.681818182,1,0.15,6,0.035385704,NA,NA,21,24,pulse,190605,NA,190722,Sp.9 FISH + DY96,190724,1,3,190724
190605_Lua1_LUAm1_1M_24hpi,CM,Lua1 growth dynamics and firing test,190604,14,Lua1,1000,LUAm1,2A,176000,1,5.681818182,1,0.15,6,0.035385704,NA,NA,21,24,pulse,190605,NA,190722,Sp.9 FISH + DY96,190724,2,3,190724
190605_JU1400_LUAm1_1M_24hpi,CM,Lua1 growth dynamics and firing test,190604,15,JU1400,1000,LUAm1,2A,176000,1,5.681818182,1,0.15,6,0.035385704,NA,NA,21,24,pulse,190605,NA,190722,Sp.9 FISH + DY96,190724,3,3,190724
190606_N2_LUAm1_1M_48hpi,CM,Lua1 growth dynamics and firing test,190604,16,N2,1000,LUAm1,2A,176000,1,5.681818182,1,0.15,6,0.035385704,NA,NA,21,48,pulse,190606,NA,190722,Sp.9 FISH + DY96,190724,4,3,190724
190606_Lua1_LUAm1_1M_48hpi,CM,Lua1 growth dynamics and firing test,190604,17,Lua1,1000,LUAm1,2A,176000,1,5.681818182,1,0.15,6,0.035385704,NA,NA,21,48,pulse,190606,NA,190722,Sp.9 FISH + DY96,190724,5,3,190724
190606_JU1400_LUAm1_1M_48hpi,CM,Lua1 growth dynamics and firing test,190604,18,JU1400,1000,LUAm1,2A,176000,1,5.681818182,1,0.15,6,0.035385704,NA,NA,21,48,pulse,190606,NA,190722,Sp.9 FISH + DY96,190724,6,3,190724
190607_N2_LUAm1_0M_72hpi,CM,Lua1 growth dynamics and firing test,190604,19,N2,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,NA,NA,21,72,pulse,190607,NA,190722,Sp.9 FISH + DY96,190724,7,3,190724
190607_Lua1_LUAm1_0M_72hpi,CM,Lua1 growth dynamics and firing test,190604,20,Lua1,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,NA,NA,21,72,pulse,190607,NA,190722,Sp.9 FISH + DY96,190724,8,3,190724
190607_JU1400_LUAm1_0M_72hpi,CM,Lua1 growth dynamics and firing test,190604,21,JU1400,1000,LUAm1,2A,176000,0,0,1,0.15,6,0,NA,NA,21,72,pulse,190607,NA,190722,Sp.9 FISH + DY96,190724,9,3,190724
190607_N2_LUAm1_1M_72hpi,CM,Lua1 growth dynamics and firing test,190604,22,N2,1000,LUAm1,2A,176000,1,5.681818182,1,0.15,6,0.035385704,NA,NA,21,72,pulse,190607,NA,190722,Sp.9 FISH + DY96,190724,10,3,190724
190607_Lua1_LUAm1_1M_72hpi,CM,Lua1 growth dynamics and firing test,190604,23,Lua1,1000,LUAm1,2A,176000,1,5.681818182,1,0.15,6,0.035385704,NA,NA,21,72,pulse,190607,NA,190722,Sp.9 FISH + DY96,190724,11,3,190724
190607_JU1400_LUAm1_1M_72hpi,CM,Lua1 growth dynamics and firing test,190604,24,JU1400,1000,LUAm1,2A,176000,1,5.681818182,1,0.15,6,0.035385704,NA,NA,21,72,pulse,190607,NA,190722,Sp.9 FISH + DY96,190724,12,3,190724
190611_N2_LUAm1_0M_0.5hpi,CM,Lua1 growth dynamics and firing test,190611,1,N2,3000,LUAm1,2A,176000,0,0,1,0.15,6,0,NA,NA,21,0.5,pulse,190611,NA,190722,Sp.9 FISH + DY96,190724,13,3,190724
190611_N2_LUAm1_6M_0.5hpi,CM,Lua1 growth dynamics and firing test,190611,3,N2,6000,LUAm1,2A,176000,6,34.09090909,1,0.15,6,0.212314225,NA,NA,21,0.5,pulse,190611,NA,190722,Sp.9 FISH + DY96,190724,15,3,190724
190611_JU1400_LUAm1_6M_0.5hpi,CM,Lua1 growth dynamics and firing test,190611,4,JU1400,6000,LUAm1,2A,176000,6,34.09090909,1,0.15,6,0.212314225,NA,NA,21,0.5,pulse,190611,NA,190722,Sp.9 FISH + DY96,190724,16,3,190724
190611_N2_LUAm1_6M_3hpi,CM,Lua1 growth dynamics and firing test,190611,7,N2,6000,LUAm1,2A,176000,6,34.09090909,1,0.15,6,0.212314225,NA,NA,21,3,pulse,190611,NA,190722,Sp.9 FISH + DY96,190724,19,3,200608
190611_JU1400_LUAm1_6M_3hpi,CM,Lua1 growth dynamics and firing test,190611,8,JU1400,6000,LUAm1,2A,176000,6,34.09090909,1,0.15,6,0.212314225,NA,NA,21,3,pulse,190611,NA,190722,Sp.9 FISH + DY96,190724,20,3,200608
190808_N2_LUAm1_5M_24hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,5,N2,1200,LUAm1,2A,176000,5,28.40909091,1,0.75,6,0.176928521,NA,NA,21,24,pulse,190808,NA,191017,Sp.9 FISH + DY96,191107,5,3,191107
190808_JU1400_LUAm1_5M_24hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,6,JU1400,1200,LUAm1,2A,176000,5,28.40909091,1,0.75,6,0.176928521,NA,NA,21,24,pulse,190808,NA,191017,Sp.9 FISH + DY96,191107,6,3,191107
190809_N2_LUAm1_5M_48hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,7,N2,1200,LUAm1,2A,176000,5,28.40909091,1,0.75,6,0.176928521,NA,NA,21,48,pulse,190809,NA,191017,Sp.9 FISH + DY96,191107,7,3,191107
190809_JU1400_LUAm1_5M_48hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,8,JU1400,1200,LUAm1,2A,176000,5,28.40909091,1,0.75,6,0.176928521,NA,NA,21,48,pulse,190809,NA,191017,Sp.9 FISH + DY96,191107,8,3,191107
190810_N2_LUAm1_0M_72hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,9,N2,1200,LUAm1,2A,176000,0,0,1,0.75,6,0,NA,NA,21,72,pulse,190810,Acetone Fix 190426,191017,Sp.9 FISH + DY96,191107,9,3,191107
190810_JU1400_LUAm1_0M_72hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,10,JU1400,1200,LUAm1,2A,176000,0,0,1,0.75,6,0,NA,NA,21,72,pulse,190810,Acetone Fix 190426,191017,Sp.9 FISH + DY96,191107,10,3,191107
190810_N2_LUAm1_5M_72hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,11,N2,1200,LUAm1,2A,176000,5,28.40909091,1,0.75,6,0.176928521,NA,NA,21,72,pulse,190810,Acetone Fix 190426,191017,Sp.9 FISH + DY96,191107,11,3,191107
190810_JU1400_LUAm1_5M_72hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,12,JU1400,1200,LUAm1,2A,176000,5,28.40909091,1,0.75,6,0.176928521,NA,NA,21,72,pulse,190810,Acetone Fix 190426,191017,Sp.9 FISH + DY96,191107,12,3,191107
190811_N2_LUAm1_0M_96hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,13,N2,1200,LUAm1,2A,176000,0,0,1,0.75,6,0,NA,NA,21,96,pulse,190811,Acetone Fix 190426,191017,Sp.9 FISH + DY96,191107,13,3,191107
190811_JU1400_LUAm1_0M_96hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,14,JU1400,1200,LUAm1,2A,176000,0,0,1,0.75,6,0,NA,NA,21,96,pulse,190811,Acetone Fix 190426,191017,Sp.9 FISH + DY96,191107,14,3,191107
190811_N2_LUAm1_5M_96hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,15,N2,1200,LUAm1,2A,176000,5,28.40909091,1,0.75,6,0.176928521,NA,NA,21,96,pulse,190811,Acetone Fix 190426,191017,Sp.9 FISH + DY96,191107,15,3,191107
190811_JU1400_LUAm1_5M_96hpi,CM,Lua1 growth dynamics and firing test and pulse-infection,190807,16,JU1400,1200,LUAm1,2A,176000,5,28.40909091,1,0.75,6,0.176928521,NA,NA,21,96,pulse,190811,Acetone Fix 190426,191017,Sp.9 FISH + DY96,191107,16,3,191107
200124_VC20019_LUAm1_5M_24H-2nd-pulse-0M-conthpi,CM,Pulse infection retest for Lua1,200120,23,VC20019,1200,LUAm1,2A,176000,5,28.40909091,1,0.25,6,0.176928521,NA,NA,21,24H-2nd-pulse-0M-cont,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,23,5,200929
200121_VC20019_ERTm5_6M_24hpi,CM,Pulse infection test for ERTM5,200120,37,VC20019,1200,ERTm5,2,427000,6,14.05152225,1,0.25,6,0.212314225,NA,NA,21,24,pulse,200121,Sample exhausted,200917,microB FISH + DY96,200923,37,5,201009
200121_JU1400_ERTm5_6M_24hpi,CM,Pulse infection test for ERTM5,200120,38,JU1400,1200,ERTm5,2,427000,6,14.05152225,1,0.25,6,0.212314225,NA,NA,21,24,pulse,200121,Sample exhausted,200917,microB FISH + DY96,200923,38,5,201009
200122_VC20019_ERTm5_6M_48hpi,CM,Pulse infection test for ERTM5,200120,39,VC20019,1200,ERTm5,2,427000,6,14.05152225,1,0.25,6,0.212314225,NA,NA,21,48,pulse,200122,Sample exhausted,200917,microB FISH + DY96,200923,39,5,201009
200122_JU1400_ERTm5_6M_48hpi,CM,Pulse infection test for ERTM5,200120,40,JU1400,1200,ERTm5,2,427000,6,14.05152225,1,0.25,6,0.212314225,NA,NA,21,48,pulse,200122,Sample exhausted,200917,microB FISH + DY96,200923,40,5,201009
