experiment,experimenter,description,Infection Date,Plate Number,Worm_strain,Total Worms,Spore Strain,Spore Lot,Lot concentration,Total Spores (M),Total ul spore,Infection Round,40X OP50 (mL),Plate Size,Spores(M)/cm2,Time plated,Time Incubated,Temp,timepoint,infection.type,Fixing Date,Location,Staining Date,Stain type,Slide date,Slide number,Slide Box,Imaging Date
200123_VC20019_ERTm5_0M_72hpi,CM,Pulse infection test for ERTM5,200120,41,VC20019,1200,ERTm5,2,427000,0,0,1,0.25,6,0,NA,NA,21,72,pulse,200123,Sample exhausted,200917,microB FISH + DY96,200923,41,5,201022
200123_JU1400_ERTm5_0M_72hpi,CM,Pulse infection test for ERTM5,200120,42,JU1400,1200,ERTm5,2,427000,0,0,1,0.25,6,0,NA,NA,21,72,pulse,200123,Sample exhausted,200917,microB FISH + DY96,200923,42,5,201022
200123_VC20019_ERTm5_6M_72hpi,CM,Pulse infection test for ERTM5,200120,43,VC20019,1200,ERTm5,2,427000,6,14.05152225,1,0.25,6,0.212314225,NA,NA,21,72,pulse,200123,Sample exhausted,200917,microB FISH + DY96,200923,43,5,201022
200123_JU1400_ERTm5_6M_72hpi,CM,Pulse infection test for ERTM5,200120,44,JU1400,1200,ERTm5,2,427000,6,14.05152225,1,0.25,6,0.212314225,NA,NA,21,72,pulse,200123,Sample exhausted,200917,microB FISH + DY96,200923,44,5,201022
200124_VC20019_ERTm5_0M_96hpi,CM,Pulse infection test for ERTM5,200120,45,VC20019,1200,ERTm5,2,427000,0,0,1,0.25,6,0,NA,NA,21,96,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,45,5,201022
200124_JU1400_ERTm5_0M_96hpi,CM,Pulse infection test for ERTM5,200120,46,JU1400,1200,ERTm5,2,427000,0,0,1,0.25,6,0,NA,NA,21,96,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,46,5,201022
200124_VC20019_ERTm5_6M_96hpi,CM,Pulse infection test for ERTM5,200120,47,VC20019,1200,ERTm5,2,427000,6,14.05152225,1,0.25,6,0.212314225,NA,NA,21,96,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,47,5,201022
200124_JU1400_ERTm5_6M_96hpi,CM,Pulse infection test for ERTM5,200120,48,JU1400,1200,ERTm5,2,427000,6,14.05152225,1,0.25,6,0.212314225,NA,NA,21,96,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,48,5,201022
200124_VC20019_ERTm5_5M_24H-2nd-pulse-0M-conthpi,CM,Pulse infection test for ERTM5,200120,49,VC20019,1200,ERTm5,2,427000,5,11.70960187,1,0.25,6,0.176928521,NA,NA,21,24H-2nd-pulse-0M-cont,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,49,5,200929
200124_JU1400_ERTm5_5M_24H-2nd-pulse-0M-conthpi,CM,Pulse infection test for ERTM5,200120,50,JU1400,1200,ERTm5,2,427000,5,11.70960187,1,0.25,6,0.176928521,NA,NA,21,24H-2nd-pulse-0M-cont,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,50,5,200929
200124_VC20019_ERTm5_5M_24H-2nd-pulse-5M-conthpi,CM,Pulse infection test for ERTM5,200120,51,VC20019,1200,ERTm5,2,427000,5,11.70960187,1,0.25,6,0.176928521,NA,NA,21,24H-2nd-pulse-5M-cont,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,51,5,200929
200124_JU1400_ERTm5_5M_24H-2nd-pulse-5M-conthpi,CM,Pulse infection test for ERTM5,200120,52,JU1400,1200,ERTm5,2,427000,5,11.70960187,1,0.25,6,0.176928521,NA,NA,21,24H-2nd-pulse-5M-cont,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,52,5,200929
200124_VC20019_ERTm5_0M_24H-2nd-pulse-5M-conthpi,CM,Pulse infection test for ERTM5,200120,23,VC20019,1200,ERTm5,2,427000,0,0,1,0.25,6,0,NA,NA,21,24H-2nd-pulse-5M-cont,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,23,5,200929
200124_JU1400_ERTm5_0M_24H-2nd-pulse-5M-conthpi,CM,Pulse infection test for ERTM5,200120,54,JU1400,1200,ERTm5,2,427000,0,0,1,0.25,6,0,NA,NA,21,24H-2nd-pulse-5M-cont,pulse,200124,Sample exhausted,200917,microB FISH + DY96,200923,54,5,200929
200707_N2_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,1,N2,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,Sp.9 FISH + DY96,200804,1,3,200806
200707_N2_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,2,N2,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,Sp.9 FISH + DY96,200804,2,3,200806
200707_JU1400_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,3,JU1400,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,Sp.9 FISH + DY96,200804,3,3,200806
200707_JU1400_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,4,JU1400,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200707,Sample exhausted,200803,Sp.9 FISH + DY96,200804,4,3,200806
200707_ED3052A_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,5,ED3052A,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,Sp.9 FISH + DY96,200804,5,3,200806
200707_ED3052A_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,6,ED3052A,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200707,Sample exhausted,200803,Sp.9 FISH + DY96,200804,6,3,200806
200707_ED3052B_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,7,ED3052B,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,Sp.9 FISH + DY96,200804,7,3,200806
200707_ED3052B_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,8,ED3052B,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,Sp.9 FISH + DY96,200804,8,3,200806
200707_MY1_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,9,MY1,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,Sp.9 FISH + DY96,200804,9,3,200806
200707_MY1_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,10,MY1,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200707,Sample exhausted,200803,Sp.9 FISH + DY96,200804,10,3,200806
200707_N2_MAM1_4M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,11,N2,1000,MAM1,1,370000,4,10.81081081,1,0.25,6,0.141542817,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,microB FISH + DY96,200804,11,3,200806
200707_JU1400_MAM1_4M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,12,JU1400,1000,MAM1,1,370000,4,10.81081081,1,0.25,6,0.141542817,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,microB FISH + DY96,200804,12,3,200806
200707_N2_LUAm3_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,13,N2,1000,LUAm3,1,100000,10,90,1,0.25,6,0.353857042,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,Sp.9 FISH + DY96,200804,13,3,200806
200707_JU1400_LUAm3_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,14,JU1400,1000,LUAm3,1,100000,10,100,1,0.25,6,0.353857042,NA,72,21,72,continuous,200707,Sample exhausted,200803,Sp.9 FISH + DY96,200804,14,3,200806
200707_N2_AWRm78_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,15,N2,1000,AWRm78,1,63625,3.5,55.00982318,1,0.25,6,0.123849965,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,microB FISH + DY96,200804,15,3,200806
200707_JU1400_AWRm78_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,16,JU1400,1000,AWRm78,1,63625,3.5,55.00982318,1,0.25,6,0.123849965,NA,72,21,72,continuous,200707,Sample exhausted,200803,microB FISH + DY96,200804,16,3,200806
200707_N2_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,17,N2,1000,ERTm5,2,427000,1.75,4.098360656,1,0.25,6,0.061924982,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,microB FISH + DY96,200804,17,3,200806
200707_N2_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,18,N2,1000,ERTm5,2,427000,3.5,8.196721311,1,0.25,6,0.123849965,NA,72,21,72,continuous,200707,Sample exhausted,200803,microB FISH + DY96,200804,18,3,200806
200707_JU1400_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,19,JU1400,1000,ERTm5,2,427000,1.75,4.098360656,1,0.25,6,0.061924982,NA,72,21,72,continuous,200707,Sample exhausted,200803,microB FISH + DY96,200804,19,3,200806
200707_JU1400_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,20,JU1400,1000,ERTm5,2,427000,3.5,8.196721311,1,0.25,6,0.123849965,NA,72,21,72,continuous,200707,Sample exhausted,200803,microB FISH + DY96,200804,20,3,200806
200707_MY1_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,21,MY1,1000,ERTm5,2,427000,1.75,4.098360656,1,0.25,6,0.061924982,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,microB FISH + DY96,200804,21,3,200806
200707_MY1_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052 and localization in AWR49/AWR51,200704,22,MY1,1000,ERTm5,2,427000,3.5,8.196721311,1,0.25,6,0.123849965,NA,72,21,72,continuous,200707,Acetone Samples 200707 CM,200803,microB FISH + DY96,200804,22,3,200806
200714_N2_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,1,N2,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,Sp.9 FISH + DY96,200811,1,4,200813
200714_N2_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,2,N2,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,Sp.9 FISH + DY96,200811,2,4,200813
200714_JU1400_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,3,JU1400,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,Sp.9 FISH + DY96,200811,3,4,200813
200714_JU1400_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,4,JU1400,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200714,Sample exhausted,200810,Sp.9 FISH + DY96,200811,4,4,200813
200714_ED3052A_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,5,ED3052A,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,Sp.9 FISH + DY96,200811,5,4,200813
200714_ED3052A_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,6,ED3052A,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200714,Sample exhausted,200810,Sp.9 FISH + DY96,200811,6,4,200813
200714_ED3052B_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,7,ED3052B,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,Sp.9 FISH + DY96,200811,7,4,200813
200714_ED3052B_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,8,ED3052B,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,Sp.9 FISH + DY96,200811,8,4,200813
200714_MY1_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,9,MY1,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,Sp.9 FISH + DY96,200811,9,4,200813
200714_MY1_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,10,MY1,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200714,Sample exhausted,200810,Sp.9 FISH + DY96,200811,10,4,200813
200714_N2_MAM1_4M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,11,N2,1000,MAM1,1,370000,4,10.81081081,1,0.25,6,0.141542817,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,microB FISH + DY96,200811,11,4,200813
200714_JU1400_MAM1_4M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,12,JU1400,1000,MAM1,1,370000,4,10.81081081,1,0.25,6,0.141542817,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,microB FISH + DY96,200811,12,4,200813
200714_N2_LUAm3_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,13,N2,1000,LUAm3,1,100000,10,100,1,0.25,6,0.353857042,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,Sp.9 FISH + DY96,200811,13,4,200813
200714_JU1400_LUAm3_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,14,JU1400,1000,LUAm3,1,100000,10,100,1,0.25,6,0.353857042,NA,72,21,72,continuous,200714,Sample exhausted,200810,Sp.9 FISH + DY96,200811,14,4,200813
200714_N2_AWRm78_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,15,N2,1000,AWRm78,1,63625,3.5,55.00982318,1,0.25,6,0.123849965,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,microB FISH + DY96,200811,15,4,200813
200714_JU1400_AWRm78_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,16,JU1400,1000,AWRm78,1,63625,3.5,55.00982318,1,0.25,6,0.123849965,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,microB FISH + DY96,200811,16,4,200813
200714_N2_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,17,N2,1000,ERTm5,2,427000,1.75,4.098360656,1,0.25,6,0.061924982,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,microB FISH + DY96,200811,17,4,200813
200714_N2_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,18,N2,1000,ERTm5,2,427000,3.5,8.196721311,1,0.25,6,0.123849965,NA,72,21,72,continuous,200714,Sample exhausted,200810,microB FISH + DY96,200811,18,4,200813
200714_JU1400_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,19,JU1400,1000,ERTm5,2,427000,1.75,4.098360656,1,0.25,6,0.061924982,NA,72,21,72,continuous,200714,Sample exhausted,200810,microB FISH + DY96,200811,19,4,200813
200714_JU1400_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,20,JU1400,1000,ERTm5,2,427000,3.5,8.196721311,1,0.25,6,0.123849965,NA,72,21,72,continuous,200714,Sample exhausted,200810,microB FISH + DY96,200811,20,4,200813
200714_MY1_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,21,MY1,1000,ERTm5,2,427000,1.75,4.098360656,1,0.25,6,0.061924982,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,microB FISH + DY96,200811,21,4,200813
200714_MY1_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,22,MY1,1000,ERTm5,2,427000,3.5,8.196721311,1,0.25,6,0.123849965,NA,72,21,72,continuous,200714,Sample exhausted,200810,microB FISH + DY96,200811,22,4,200813
200714_N2_LUAm1_15M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,23,N2,1000,LUAm1,2A,176000,15,85.22727273,1,0.25,6,0.530785563,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,Sp.9 FISH + DY96,200811,23,4,200813
200714_JU1400_LUAm1_15M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,24,JU1400,1000,LUAm1,2A,176000,15,85.22727273,1,0.25,6,0.530785563,NA,72,21,72,continuous,200714,Sample exhausted,200810,Sp.9 FISH + DY96,200811,24,4,200813
200714_ED3052A_LUAm1_15M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,25,ED3052A,1000,LUAm1,2A,176000,15,85.22727273,1,0.25,6,0.530785563,NA,72,21,72,continuous,200714,Sample exhausted,200810,Sp.9 FISH + DY96,200811,25,4,200813
200714_ED3052B_LUAm1_15M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,26,ED3052B,1000,LUAm1,2A,176000,15,85.22727273,1,0.25,6,0.530785563,NA,72,21,72,continuous,200714,Sample exhausted,200810,Sp.9 FISH + DY96,200811,26,4,200813
200714_MY1_LUAm1_15M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,27,MY1,1000,LUAm1,2A,176000,15,85.22727273,1,0.25,6,0.530785563,NA,72,21,72,continuous,200714,Sample exhausted,200810,Sp.9 FISH + DY96,200811,27,4,200813
200714_N2_MAM1_8M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,28,N2,1000,MAM1,2A,370000,8,21.62162162,1,0.25,6,0.283085633,NA,72,21,72,continuous,200714,Acetone Samples 200707 CM,200810,microB FISH + DY96,200811,28,4,200813
200714_JU1400_MAM1_8M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200711,29,JU1400,1000,MAM1,2A,370000,8,21.62162162,1,0.25,6,0.283085633,NA,72,21,72,continuous,200714,Sample exhausted,200810,microB FISH + DY96,200811,29,4,200813
200721_N2_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,1,N2,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200721,Sample exhausted,200817,Sp.9 FISH + DY96,200818,1,4,200819
200721_N2_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,2,N2,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200721,Acetone Samples 200707 CM,200817,Sp.9 FISH + DY96,200818,2,4,200819
200721_JU1400_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,3,JU1400,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200721,Acetone Samples 200707 CM,200817,Sp.9 FISH + DY96,200818,3,4,200819
200721_JU1400_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,4,JU1400,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200721,Sample exhausted,200817,Sp.9 FISH + DY96,200818,4,4,200819
200721_ED3052A_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,5,ED3052A,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200721,Acetone Samples 200707 CM,200817,Sp.9 FISH + DY96,200818,5,4,200819
200721_ED3052A_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,6,ED3052A,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200721,Sample exhausted,200817,Sp.9 FISH + DY96,200818,6,4,200819
200721_ED3052B_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,7,ED3052B,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200721,Acetone Samples 200707 CM,200817,Sp.9 FISH + DY96,200818,7,4,200819
200721_ED3052B_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,8,ED3052B,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200721,Sample exhausted,200817,Sp.9 FISH + DY96,200818,8,4,200819
200721_MY1_LUAm1_0M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,9,MY1,1000,LUAm1,2A,176000,0,0,1,0.25,6,0,NA,72,21,72,continuous,200721,Acetone Samples 200707 CM,200817,Sp.9 FISH + DY96,200818,9,4,200819
200721_MY1_LUAm1_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,10,MY1,1000,LUAm1,2A,176000,10,56.81818182,1,0.25,6,0.353857042,NA,72,21,72,continuous,200721,Sample exhausted,200817,Sp.9 FISH + DY96,200818,10,4,200819
200721_N2_MAM1_4M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,11,N2,1000,MAM1,1,370000,4,10.81081081,1,0.25,6,0.141542817,NA,72,21,72,continuous,200721,Acetone Samples 200707 CM,200817,microB FISH + DY96,200818,11,4,200910
200721_JU1400_MAM1_4M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,12,JU1400,1000,MAM1,1,370000,4,10.81081081,1,0.25,6,0.141542817,NA,72,21,72,continuous,200721,Sample exhausted,200817,microB FISH + DY96,200818,12,4,200910
200721_N2_LUAm3_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,13,N2,1000,LUAm3,1,100000,10,100,1,0.25,6,0.353857042,NA,72,21,72,continuous,200721,Acetone Samples 200707 CM,200817,Sp.9 FISH + DY96,200818,13,4,200910
200721_JU1400_LUAm3_10M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,14,JU1400,1000,LUAm3,1,100000,10,100,1,0.25,6,0.353857042,NA,72,21,72,continuous,200721,Sample exhausted,200817,Sp.9 FISH + DY96,200818,14,4,200910
200721_N2_AWRm78_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,15,N2,1000,AWRm78,1,63625,3.5,55.00982318,1,0.25,6,0.123849965,NA,72,21,72,continuous,200721,Acetone Samples 200707 CM,200817,microB FISH + DY96,200818,15,4,200910
200721_JU1400_AWRm78_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,16,JU1400,1000,AWRm78,1,63625,3.5,55.00982318,1,0.25,6,0.123849965,NA,72,21,72,continuous,200721,Sample exhausted,200817,microB FISH + DY96,200818,16,4,200910
200721_N2_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,17,N2,1000,ERTm5,2,427000,1.75,4.098360656,1,0.25,6,0.061924982,NA,72,21,72,continuous,200721,Sample exhausted,200817,microB FISH + DY96,200818,17,4,200910
200721_N2_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,18,N2,1000,ERTm5,2,427000,3.5,8.196721311,1,0.25,6,0.123849965,NA,72,21,72,continuous,200721,Sample exhausted,200817,microB FISH + DY96,200818,18,4,200910
200721_JU1400_ERTm5_1.75M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,19,JU1400,1000,ERTm5,2,427000,1.75,4.098360656,1,0.25,6,0.061924982,NA,72,21,72,continuous,200721,Sample exhausted,200817,microB FISH + DY96,200818,19,4,200910
200721_JU1400_ERTm5_3.5M_72hpi,CM,Lua1 continuous Infection test JU1400 and ED3052,200718,20,JU1400,1000,ERTm5,2,427000,3.5,8.196721311,1,0.25,6,0.123849965,NA,72,21,72,continuous,200721,Sample exhausted,200817,microB FISH + DY96,200818,20,4,200910
